Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Color,Owner_Type,Mileage_kmpl,Price_Lakh,Provider,Policy_Number,Expiry_Date,Status,Owner_Name,Contact,City,Purchase_Year,Sale_Price_Lakh,Sale_Date,Buyer_Name,Service_Type,Service_Date,Service_Cost,Service_Center
C1010,Renault,XUV500,2014,Hybrid,Automatic,Grey,Third,15.23,46.59,"Bajaj Allianz",POL646752,2024-07-21,Active,Owner_10,"+91 9715816140",Hyderabad,2017,46.79,2023-06-10,Buyer_10,"Oil Change",2021-06-10,8570,AutoCare
C1011,Toyota,Seltos,2016,Hybrid,Manual,Yellow,Third,12.21,45.77,"HDFC Ergo",POL188741,2023-03-09,Expired,Owner_11,"+91 9789467753",Kolkata,2010,33.04,2023-12-14,Buyer_11,"Full Service",2020-01-01,16567,CarZ
C1012,Volkswagen,Seltos,2015,Petrol,Manual,Silver,Fourth,20.48,25.87,"ICICI Lombard",POL321640,2024-09-14,Expired,Owner_12,"+91 9473501690",Chennai,2008,3.79,2023-06-11,Buyer_12,"Brake Service",2023-11-04,17104,Mechanix
C1013,Kia,Polo,2016,Hybrid,Manual,Grey,Second,12.36,28.52,"SBI General",POL419509,2024-04-30,Active,Owner_13,"+91 9759681703",Jaipur,2017,20.45,2022-05-05,Buyer_13,"Brake Service",2021-03-17,6151,Pitstop
C1014,Honda,Innova,2024,CNG,Automatic,Grey,Fourth,16.33,15.17,"HDFC Ergo",POL517084,2024-08-03,Expired,Owner_14,"+91 9370395268",Lucknow,2018,25.17,2022-07-18,Buyer_14,"Tyre Change",2022-02-12,10822,AutoCare
C1015,Toyota,Nexon,2009,Hybrid,Automatic,White,Fourth,22.38,49.22,"HDFC Ergo",POL482528,2024-06-11,Expired,Owner_15,"+91 9652379883",Mumbai,2019,45.87,2023-07-11,Buyer_15,"Tyre Change",2023-10-01,10066,CarZ
C1016,Ford,Nexon,2006,Petrol,Automatic,Grey,Third,24.86,36.63,"ICICI Lombard",POL514421,2024-01-17,Active,Owner_16,"+91 9647316900",Lucknow,2017,47.81,2022-11-10,Buyer_16,"Tyre Change",2021-05-22,19848,"Speed Garage"
C1017,Volkswagen,Polo,2008,Diesel,Manual,Red,Fourth,15.27,21.31,"TATA AIG",POL314424,2024-04-29,Expired,Owner_17,"+91 9630185206",Kolkata,2020,48.15,2023-11-26,Buyer_17,"Engine Repair",2023-02-07,9975,FastFix
C1018,Maruti,Ecosport,2014,Hybrid,Manual,White,Fourth,19.85,7.39,"Bajaj Allianz",POL130944,2023-06-26,Active,Owner_18,"+91 9781237202",Delhi,2022,49.22,2022-09-20,Buyer_18,"Battery Replacement",2023-10-17,9624,"Speed Garage"
C1019,Tata,Ecosport,2018,Petrol,Manual,Blue,First,22.06,45.63,"SBI General",POL411521,2023-01-12,Active,Owner_19,"+91 9638571908",Mumbai,2019,12.33,2023-07-21,Buyer_19,"Oil Change",2022-02-05,10763,"Speed Garage"
C1020,Toyota,Innova,2022,CNG,Manual,Black,Fourth,16.25,44.38,"ICICI Lombard",POL517641,2024-02-11,Expired,Owner_20,"+91 9555203126",Mumbai,2014,19.25,2022-02-03,Buyer_20,"Oil Change",2020-05-18,17591,CarZ
C1021,Tata,Creta,2017,Petrol,Automatic,Blue,First,10.88,14.45,"Bajaj Allianz",POL223894,2023-07-07,Expired,Owner_21,"+91 9717761950",Ahmedabad,2005,22.68,2023-01-08,Buyer_21,"Brake Service",2020-12-01,6508,Pitstop
C1022,Mahindra,City,2024,Hybrid,Automatic,Yellow,Third,19.92,5.67,"SBI General",POL836517,2023-04-13,Active,Owner_22,"+91 9989237859",Lucknow,2014,47.33,2022-08-24,Buyer_22,"Full Service",2023-03-24,11004,AutoCare
C1023,Hyundai,Swift,2018,CNG,Automatic,Silver,Second,18.72,7.07,"ICICI Lombard",POL481778,2023-09-09,Active,Owner_23,"+91 9471726849",Chennai,2013,30.1,2022-06-24,Buyer_23,"Engine Repair",2021-10-20,10274,Mechanix
C1024,Hyundai,City,2017,CNG,Automatic,Red,Second,10.93,38.44,"Bajaj Allianz",POL496314,2023-01-18,Expired,Owner_24,"+91 9427701281",Pune,2023,24.69,2023-07-23,Buyer_24,"Engine Repair",2022-03-28,4346,FastFix
C1025,Tata,Innova,2017,Diesel,Automatic,Red,First,11.87,46.08,"TATA AIG",POL740593,2023-07-19,Active,Owner_25,"+91 9694301770",Chennai,2020,26.84,2022-12-22,Buyer_25,"Brake Service",2022-02-24,9065,CarZ
C1026,Tata,Polo,2005,Hybrid,Manual,Red,Second,19.44,14.63,"ICICI Lombard",POL481534,2023-10-30,Active,Owner_26,"+91 9125833950",Bangalore,2020,34.82,2022-08-28,Buyer_26,"Tyre Change",2023-07-13,7822,FastFix
C1027,Toyota,Duster,2024,Hybrid,Automatic,Black,Third,18.84,39.77,"Reliance General",POL649273,2023-08-24,Expired,Owner_27,"+91 9489792257",Ahmedabad,2005,48.62,2023-10-09,Buyer_27,"Brake Service",2020-12-20,17105,CarZ
C1028,Maruti,Seltos,2015,CNG,Manual,Black,Second,11.4,34.13,"Reliance General",POL946003,2023-10-21,Expired,Owner_28,"+91 9663410192",Ahmedabad,2010,30.58,2022-06-02,Buyer_28,"Brake Service",2023-09-02,18846,"Speed Garage"
C1029,Ford,Duster,2014,CNG,Automatic,Green,Fourth,18.4,35.32,"ICICI Lombard",POL336491,2024-02-22,Expired,Owner_29,"+91 9502047866",Bangalore,2023,48.55,2022-12-16,Buyer_29,"Oil Change",2021-03-23,18935,FastFix
C1030,Ford,City,2009,Petrol,Manual,Silver,Third,23.59,9.99,"ICICI Lombard",POL157377,2023-06-28,Active,Owner_30,"+91 9807936385",Pune,2014,26.54,2023-06-10,Buyer_30,"Tyre Change",2020-05-30,4261,AutoCare
C1031,Maruti,Duster,2010,Hybrid,Automatic,Grey,Fourth,12.34,33.71,"ICICI Lombard",POL121985,2023-07-25,Active,Owner_31,"+91 9616706237",Lucknow,2009,45.76,2022-09-27,Buyer_31,"Oil Change",2022-01-05,12133,AutoCare
C1032,Toyota,Duster,2015,Diesel,Automatic,Green,Third,24.49,33.91,"SBI General",POL546524,2023-11-21,Active,Owner_32,"+91 9683973999",Delhi,2006,4.76,2023-03-27,Buyer_32,"Full Service",2021-12-19,6802,FastFix
C1033,Ford,Ecosport,2005,Petrol,Automatic,Grey,Second,12.57,43.09,"ICICI Lombard",POL759309,2024-05-14,Active,Owner_33,"+91 9841324664",Hyderabad,2020,36.76,2022-09-16,Buyer_33,"Tyre Change",2021-10-19,13984,Pitstop
C1034,Honda,Duster,2007,Petrol,Automatic,Blue,Second,23.15,44.7,"Bajaj Allianz",POL780549,2023-03-09,Active,Owner_34,"+91 9507817542",Lucknow,2008,12.08,2023-12-13,Buyer_34,"Engine Repair",2022-10-07,14797,"Speed Garage"
C1035,Volkswagen,Duster,2023,Petrol,Manual,White,Second,11.94,12.79,"HDFC Ergo",POL809642,2023-09-04,Expired,Owner_35,"+91 9630342451",Bangalore,2021,15.13,2023-10-05,Buyer_35,"Tyre Change",2023-02-14,18923,Pitstop
C1036,Volkswagen,Ecosport,2017,CNG,Manual,Red,Third,14.18,10.16,"ICICI Lombard",POL340565,2024-09-10,Expired,Owner_36,"+91 9954208057",Chennai,2012,32.2,2023-02-15,Buyer_36,"Tyre Change",2021-11-04,14735,FastFix
C1037,Volkswagen,Swift,2015,Hybrid,Automatic,Black,Second,14.04,6.62,"TATA AIG",POL211435,2023-06-07,Active,Owner_37,"+91 9771520217",Bangalore,2011,49.52,2023-01-24,Buyer_37,"Oil Change",2022-10-18,17314,Mechanix
C1038,Mahindra,Seltos,2012,Petrol,Automatic,Grey,Fourth,17.06,12.83,"TATA AIG",POL272917,2023-01-02,Active,Owner_38,"+91 9739181839",Ahmedabad,2005,32.76,2022-11-14,Buyer_38,"Oil Change",2020-09-03,9568,Mechanix
C1039,Renault,Ecosport,2014,Electric,Automatic,Green,First,19.77,31.81,"HDFC Ergo",POL820932,2024-11-20,Expired,Owner_39,"+91 9443185194",Delhi,2017,15.52,2022-10-03,Buyer_39,"Engine Repair",2023-02-15,4544,Pitstop
C1040,Tata,Swift,2015,Hybrid,Automatic,Grey,Fourth,10.82,33,"Bajaj Allianz",POL868398,2023-03-13,Active,Owner_40,"+91 9424697234",Bangalore,2016,4.92,2023-04-05,Buyer_40,"Full Service",2020-03-21,4849,FastFix
C1041,Kia,Polo,2011,Petrol,Manual,Blue,Third,13,49.25,"TATA AIG",POL479683,2023-07-26,Expired,Owner_41,"+91 9182882509",Pune,2017,28.53,2023-01-22,Buyer_41,"Full Service",2022-10-03,9197,Pitstop
C1042,Honda,Creta,2016,CNG,Manual,Yellow,First,23.85,43.65,"Bajaj Allianz",POL269796,2023-07-09,Expired,Owner_42,"+91 9604854931",Lucknow,2018,27.23,2022-01-25,Buyer_42,"Full Service",2023-07-12,17661,FastFix
C1043,Toyota,Innova,2013,Hybrid,Manual,Blue,Second,14.07,32.11,"Reliance General",POL509638,2023-09-08,Active,Owner_43,"+91 9691725310",Lucknow,2006,40.43,2022-06-11,Buyer_43,"Brake Service",2021-03-29,2166,"Speed Garage"
C1044,Renault,Ecosport,2019,Diesel,Automatic,Red,First,19.65,38.14,"SBI General",POL190122,2023-11-29,Active,Owner_44,"+91 9455316886",Jaipur,2007,41.78,2022-03-30,Buyer_44,"Tyre Change",2023-03-23,2053,Mechanix
C1045,Hyundai,Seltos,2017,Petrol,Automatic,White,Fourth,12.02,22.59,"SBI General",POL127951,2023-04-03,Active,Owner_45,"+91 9161092076",Delhi,2014,26.94,2022-01-18,Buyer_45,"Battery Replacement",2020-09-15,12232,CarZ
C1046,Kia,Swift,2016,Hybrid,Automatic,Blue,Third,16.29,46.84,"Reliance General",POL453936,2024-06-20,Active,Owner_46,"+91 9678696491",Hyderabad,2015,31.9,2023-01-31,Buyer_46,"Tyre Change",2020-01-04,11546,"Speed Garage"
C1047,Honda,Creta,2014,Electric,Automatic,White,Second,20.52,21.01,"HDFC Ergo",POL219411,2023-01-26,Expired,Owner_47,"+91 9663759179",Chennai,2021,47.68,2022-08-19,Buyer_47,"Brake Service",2020-01-22,8834,Mechanix
C1048,Hyundai,Innova,2012,Petrol,Automatic,Blue,Second,10.32,44.14,"TATA AIG",POL775621,2023-05-02,Expired,Owner_48,"+91 9952940894",Delhi,2024,28.42,2023-01-08,Buyer_48,"Engine Repair",2020-01-12,5807,CarZ
C1049,Honda,Polo,2019,Diesel,Manual,Black,First,11.82,19.08,"Reliance General",POL658685,2023-01-18,Expired,Owner_49,"+91 9735877132",Pune,2005,45.36,2022-12-07,Buyer_49,"Oil Change",2020-04-07,2773,AutoCare
C1050,Maruti,City,2006,Hybrid,Automatic,Green,Second,22.81,43.1,"Reliance General",POL247447,2024-03-07,Active,Owner_50,"+91 9443446389",Kolkata,2020,30.45,2023-03-22,Buyer_50,"Full Service",2020-11-20,8532,"Speed Garage"
C1051,Volkswagen,XUV500,2023,CNG,Manual,Red,Second,15.07,27.15,"SBI General",POL770345,2023-05-11,Active,Owner_51,"+91 9878821169",Kolkata,2012,22.57,2023-07-18,Buyer_51,"Tyre Change",2020-03-27,16180,Pitstop
C1052,Ford,XUV500,2012,Hybrid,Manual,Black,Second,11.69,11.93,"TATA AIG",POL597645,2023-05-01,Active,Owner_52,"+91 9449196809",Hyderabad,2011,15.86,2022-12-28,Buyer_52,"Battery Replacement",2020-02-03,15470,AutoCare
C1053,Toyota,Duster,2011,CNG,Automatic,Black,Fourth,23.56,29.25,"ICICI Lombard",POL902834,2024-10-01,Expired,Owner_53,"+91 9759479581",Lucknow,2010,42.78,2022-05-30,Buyer_53,"Tyre Change",2021-01-22,15280,CarZ
C1054,Ford,XUV500,2024,Diesel,Manual,Blue,Third,12.89,22.69,"TATA AIG",POL136589,2024-08-26,Expired,Owner_54,"+91 9652092769",Pune,2014,29.63,2022-05-17,Buyer_54,"Engine Repair",2023-04-22,9664,AutoCare
C1055,Honda,Ecosport,2006,Electric,Manual,Silver,Second,10.11,11.79,"Bajaj Allianz",POL286260,2023-07-01,Expired,Owner_55,"+91 9229961795",Pune,2024,7.11,2023-05-23,Buyer_55,"Brake Service",2022-11-26,9382,FastFix
C1056,Mahindra,Nexon,2011,Petrol,Manual,Grey,Third,22.79,15.82,"Bajaj Allianz",POL463613,2024-08-15,Active,Owner_56,"+91 9297252980",Pune,2008,40.48,2022-05-31,Buyer_56,"Tyre Change",2023-02-27,16400,Mechanix
C1057,Hyundai,Seltos,2024,Electric,Manual,Red,Fourth,14.33,19.34,"Bajaj Allianz",POL429841,2023-12-23,Active,Owner_57,"+91 9719493412",Chennai,2005,39.75,2023-01-05,Buyer_57,"Full Service",2022-05-09,12526,Mechanix
C1058,Maruti,City,2020,Electric,Automatic,Yellow,First,13.46,38.24,"SBI General",POL289117,2023-01-16,Active,Owner_58,"+91 9950371939",Kolkata,2023,14.92,2023-03-06,Buyer_58,"Oil Change",2022-01-17,8686,AutoCare
C1059,Honda,Nexon,2019,Diesel,Automatic,Red,First,11.88,11.38,"Bajaj Allianz",POL482102,2024-11-18,Expired,Owner_59,"+91 9817703028",Pune,2024,37.67,2022-01-17,Buyer_59,"Brake Service",2023-09-12,7987,FastFix
C1060,Renault,City,2021,CNG,Manual,Yellow,Fourth,24.44,43.19,"ICICI Lombard",POL369007,2023-11-13,Expired,Owner_60,"+91 9935025756",Kolkata,2010,13.91,2023-10-10,Buyer_60,"Brake Service",2023-11-04,3492,AutoCare
C1061,Maruti,City,2020,Electric,Automatic,Silver,Third,22.61,8.03,"SBI General",POL174131,2023-07-11,Expired,Owner_61,"+91 9334703365",Hyderabad,2010,24.26,2022-09-18,Buyer_61,"Full Service",2020-10-29,19947,AutoCare
C1062,Toyota,Seltos,2011,Electric,Automatic,Green,First,12.24,12.26,"ICICI Lombard",POL562659,2023-10-14,Active,Owner_62,"+91 9123631069",Delhi,2021,22.67,2022-05-27,Buyer_62,"Brake Service",2021-09-13,17243,Mechanix
C1063,Ford,Swift,2021,Electric,Manual,Blue,First,11.49,16.25,"ICICI Lombard",POL788255,2024-07-31,Expired,Owner_63,"+91 9364428100",Hyderabad,2017,12.05,2023-11-29,Buyer_63,"Battery Replacement",2021-12-09,17796,CarZ
C1064,Ford,Seltos,2024,Electric,Manual,Red,Third,13.37,16.44,"Reliance General",POL624961,2023-03-16,Active,Owner_64,"+91 9520326422",Kolkata,2005,2.58,2022-11-29,Buyer_64,"Full Service",2021-11-18,4468,AutoCare
C1065,Renault,Seltos,2007,Hybrid,Manual,Black,Third,11.4,21.43,"Reliance General",POL357207,2024-01-06,Active,Owner_65,"+91 9828967639",Bangalore,2009,12.3,2022-11-18,Buyer_65,"Full Service",2023-01-03,3278,CarZ
C1066,Renault,Swift,2006,Petrol,Manual,Silver,Fourth,10.66,8.23,"Bajaj Allianz",POL719422,2024-11-21,Expired,Owner_66,"+91 9568436910",Hyderabad,2013,47.88,2023-11-04,Buyer_66,"Tyre Change",2020-01-22,16211,FastFix
C1067,Ford,Ecosport,2014,Electric,Automatic,Red,Third,19.03,29.25,"HDFC Ergo",POL882979,2023-03-11,Expired,Owner_67,"+91 9882926200",Hyderabad,2021,38.5,2023-08-06,Buyer_67,"Engine Repair",2022-05-07,6602,"Speed Garage"
C1068,Renault,Ecosport,2005,Electric,Automatic,White,Third,10.62,44.4,"SBI General",POL391661,2024-03-01,Expired,Owner_68,"+91 9523325785",Chennai,2024,11.17,2023-02-21,Buyer_68,"Tyre Change",2021-09-28,11424,CarZ
C1069,Mahindra,XUV500,2017,Diesel,Automatic,Grey,Fourth,19.93,31.91,"ICICI Lombard",POL317243,2023-09-13,Active,Owner_69,"+91 9976773594",Lucknow,2010,43.33,2023-02-18,Buyer_69,"Oil Change",2020-11-24,18285,FastFix
C1070,Renault,City,2007,Electric,Manual,Green,Fourth,24.52,14.87,"SBI General",POL441184,2024-02-11,Expired,Owner_70,"+91 9545691086",Jaipur,2021,18.59,2022-05-04,Buyer_70,"Full Service",2022-02-23,5822,AutoCare
C1071,Volkswagen,Ecosport,2012,Hybrid,Automatic,Green,Third,23.59,41.21,"Reliance General",POL191051,2024-07-08,Expired,Owner_71,"+91 9371041175",Mumbai,2015,8.18,2023-11-22,Buyer_71,"Full Service",2020-04-02,4470,"Speed Garage"
C1072,Tata,Innova,2021,Diesel,Manual,Blue,Third,21.17,45.02,"ICICI Lombard",POL297928,2023-02-15,Expired,Owner_72,"+91 9671094262",Ahmedabad,2018,33.78,2023-05-02,Buyer_72,"Full Service",2020-06-23,3102,AutoCare
C1073,Volkswagen,Ecosport,2007,Electric,Automatic,Silver,Second,23.62,34.7,"Reliance General",POL622162,2024-11-16,Expired,Owner_73,"+91 9706030203",Pune,2005,21.67,2023-09-12,Buyer_73,"Brake Service",2021-05-14,17627,CarZ
C1074,Renault,Nexon,2014,Diesel,Automatic,Blue,Fourth,11.11,43.96,"TATA AIG",POL238967,2024-07-05,Expired,Owner_74,"+91 9919226769",Lucknow,2010,28.84,2023-07-16,Buyer_74,"Oil Change",2021-03-27,12657,"Speed Garage"
C1075,Renault,Nexon,2021,Electric,Automatic,White,Second,11.91,7.8,"Bajaj Allianz",POL919709,2023-03-09,Active,Owner_75,"+91 9978287926",Ahmedabad,2006,11.84,2023-08-21,Buyer_75,"Brake Service",2023-03-05,16986,Mechanix
C1076,Renault,Duster,2022,Electric,Manual,Black,Second,17.67,13.8,"Bajaj Allianz",POL942220,2023-06-04,Active,Owner_76,"+91 9823666837",Jaipur,2015,5.14,2022-08-17,Buyer_76,"Engine Repair",2020-02-24,4847,AutoCare
C1077,Kia,Nexon,2020,Electric,Manual,Grey,First,18.55,42.72,"Bajaj Allianz",POL509776,2024-07-10,Active,Owner_77,"+91 9396131691",Mumbai,2014,11.9,2022-09-21,Buyer_77,"Engine Repair",2023-02-28,13664,AutoCare
C1078,Hyundai,Duster,2011,CNG,Automatic,Yellow,Fourth,16.12,28.8,"Reliance General",POL263172,2024-04-06,Active,Owner_78,"+91 9188787815",Chennai,2007,4.47,2023-07-09,Buyer_78,"Full Service",2022-09-18,16322,Mechanix
C1079,Maruti,Ecosport,2024,Electric,Manual,Green,Fourth,18.9,24.66,"ICICI Lombard",POL997746,2024-12-12,Active,Owner_79,"+91 9366580927",Bangalore,2010,23.2,2022-04-22,Buyer_79,"Engine Repair",2020-10-12,10479,Mechanix
C1080,Toyota,Creta,2012,CNG,Automatic,Black,Second,15.15,14.56,"Reliance General",POL216241,2023-10-02,Active,Owner_80,"+91 9192475725",Lucknow,2008,2.14,2023-07-20,Buyer_80,"Brake Service",2023-06-10,4541,"Speed Garage"
C1081,Toyota,Ecosport,2015,Electric,Automatic,Red,Second,21.42,47.9,"ICICI Lombard",POL292259,2024-02-16,Active,Owner_81,"+91 9169331225",Mumbai,2016,33.76,2023-06-23,Buyer_81,"Brake Service",2020-12-08,18760,CarZ
C1082,Renault,XUV500,2018,Diesel,Manual,White,Fourth,16.69,7.02,"ICICI Lombard",POL572144,2023-12-28,Expired,Owner_82,"+91 9249119207",Delhi,2019,32.06,2022-01-18,Buyer_82,"Battery Replacement",2022-01-13,6982,"Speed Garage"
C1083,Mahindra,City,2016,Hybrid,Automatic,Grey,Second,12.2,45.7,"ICICI Lombard",POL129951,2023-12-25,Active,Owner_83,"+91 9593835123",Jaipur,2020,15.12,2022-02-20,Buyer_83,"Battery Replacement",2023-08-01,13178,Mechanix
C1084,Toyota,Ecosport,2013,CNG,Automatic,Blue,Second,18.27,47.51,"Bajaj Allianz",POL293791,2023-02-22,Active,Owner_84,"+91 9196977509",Chennai,2009,43.07,2023-09-05,Buyer_84,"Oil Change",2023-06-20,18830,Pitstop
C1085,Mahindra,XUV500,2015,Petrol,Manual,Black,Second,23.91,36.26,"TATA AIG",POL519926,2023-01-04,Active,Owner_85,"+91 9334367277",Jaipur,2008,26.16,2022-04-06,Buyer_85,"Engine Repair",2020-08-16,9044,Mechanix
C1086,Toyota,Seltos,2021,Petrol,Manual,White,First,23.53,10.43,"SBI General",POL478509,2023-04-10,Active,Owner_86,"+91 9846858290",Bangalore,2009,5.96,2023-07-14,Buyer_86,"Battery Replacement",2022-07-30,2107,CarZ
C1087,Volkswagen,Seltos,2018,Petrol,Manual,Red,First,21.65,46.47,"TATA AIG",POL707300,2023-11-18,Active,Owner_87,"+91 9802017724",Kolkata,2020,45.92,2022-12-01,Buyer_87,"Brake Service",2022-05-13,16422,CarZ
C1088,Tata,Duster,2022,CNG,Manual,Black,Fourth,10.22,30.81,"SBI General",POL711413,2023-04-21,Active,Owner_88,"+91 9803907153",Mumbai,2015,11.75,2022-08-10,Buyer_88,"Battery Replacement",2022-06-21,14763,AutoCare
C1089,Kia,City,2013,Hybrid,Automatic,Black,Second,15.31,8.58,"Bajaj Allianz",POL826980,2023-01-03,Expired,Owner_89,"+91 9940202487",Ahmedabad,2014,33.18,2023-03-13,Buyer_89,"Brake Service",2020-04-11,12637,FastFix
C1090,Renault,XUV500,2015,Diesel,Automatic,Grey,First,11.9,41.46,"Reliance General",POL289844,2023-05-13,Expired,Owner_90,"+91 9473469162",Pune,2020,33.16,2023-01-16,Buyer_90,"Full Service",2021-04-28,16125,Pitstop
C1091,Mahindra,Innova,2011,Petrol,Automatic,Green,Third,12.61,12.9,"HDFC Ergo",POL887227,2024-03-15,Active,Owner_91,"+91 9324970064",Chennai,2012,11.01,2023-03-13,Buyer_91,"Engine Repair",2021-01-23,2528,"Speed Garage"
C1092,Maruti,Ecosport,2009,Diesel,Automatic,Blue,Fourth,12.08,49.29,"TATA AIG",POL309233,2024-02-21,Active,Owner_92,"+91 9823123257",Ahmedabad,2017,22.58,2023-04-24,Buyer_92,"Oil Change",2022-08-27,5522,Mechanix
C1093,Ford,City,2017,CNG,Manual,Blue,Third,17.84,23.5,"Bajaj Allianz",POL183232,2024-05-06,Expired,Owner_93,"+91 9132159703",Kolkata,2005,13.48,2022-03-27,Buyer_93,"Brake Service",2022-05-05,10689,Mechanix
C1094,Maruti,Seltos,2007,Petrol,Automatic,Silver,Second,20.37,40.11,"SBI General",POL335450,2023-10-03,Expired,Owner_94,"+91 9258533729",Bangalore,2022,6.19,2022-09-26,Buyer_94,"Full Service",2021-05-26,12683,FastFix
C1095,Tata,Polo,2019,CNG,Manual,Silver,Second,20.35,11.06,"TATA AIG",POL823366,2024-04-23,Active,Owner_95,"+91 9896125833",Pune,2022,11.05,2023-07-18,Buyer_95,"Engine Repair",2020-08-16,13745,CarZ
C1096,Tata,Creta,2006,CNG,Manual,Red,First,19.15,12.46,"HDFC Ergo",POL650591,2023-07-22,Expired,Owner_96,"+91 9782626172",Jaipur,2010,46.17,2023-01-08,Buyer_96,"Tyre Change",2023-11-01,9563,AutoCare
C1097,Honda,Seltos,2010,Diesel,Automatic,Green,Fourth,24.42,32.54,"HDFC Ergo",POL362019,2023-11-04,Active,Owner_97,"+91 9910809745",Mumbai,2015,35.88,2023-12-01,Buyer_97,"Battery Replacement",2021-11-11,13030,AutoCare
C1098,Mahindra,City,2017,Electric,Manual,Grey,Second,10.87,9.07,"ICICI Lombard",POL269125,2023-05-05,Expired,Owner_98,"+91 9980351659",Jaipur,2012,30.66,2023-02-16,Buyer_98,"Brake Service",2023-04-23,15143,Mechanix
C1099,Toyota,Swift,2013,Petrol,Manual,Yellow,First,12.9,28.2,"SBI General",POL575524,2023-10-10,Active,Owner_99,"+91 9720983698",Chennai,2017,6.37,2022-03-14,Buyer_99,"Full Service",2020-09-25,6097,FastFix
C1100,Kia,Polo,2007,CNG,Automatic,White,Third,10.7,33.36,"Bajaj Allianz",POL197419,2023-06-05,Active,Owner_100,"+91 9310888109",Mumbai,2016,20.13,2023-01-27,Buyer_100,"Engine Repair",2023-03-01,15963,Mechanix
C1101,Renault,Seltos,2006,CNG,Manual,Black,Fourth,17.95,47.15,"Bajaj Allianz",POL980262,2023-04-15,Active,Owner_101,"+91 9661009938",Mumbai,2024,45.45,2022-01-21,Buyer_101,"Engine Repair",2022-10-30,15962,Pitstop
C1102,Ford,Nexon,2023,Petrol,Manual,White,First,23.71,27.51,"SBI General",POL779279,2023-07-10,Expired,Owner_102,"+91 9430708938",Chennai,2007,43.7,2023-01-18,Buyer_102,"Battery Replacement",2022-09-05,8338,Mechanix
C1103,Maruti,Seltos,2009,Electric,Manual,Blue,Third,10.21,24.97,"TATA AIG",POL519580,2024-10-25,Expired,Owner_103,"+91 9274473338",Lucknow,2007,28.14,2022-07-18,Buyer_103,"Battery Replacement",2022-03-08,2950,AutoCare
C1104,Mahindra,Swift,2019,Electric,Automatic,Silver,First,23.71,47.32,"HDFC Ergo",POL489528,2024-02-03,Expired,Owner_104,"+91 9644207306",Kolkata,2011,42.69,2023-04-07,Buyer_104,"Engine Repair",2022-11-29,14491,AutoCare
